City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
77,Storslett,69.7678,21.0247,25.7,93,100,14.23,NO,2021-02-06 15:43:00
78,Solnechnyy,50.7214,136.6319,-6.25,89,100,2.48,RU,2021-02-06 15:43:00
79,Kloulklubed,7.0419,134.2556,78.8,94,75,6.91,PW,2021-02-06 15:43:00
80,Vao,-22.6667,167.4833,77.31,87,1,8.12,NC,2021-02-06 15:43:00
81,Marsala,37.7966,12.4352,68.0,45,0,19.57,IT,2021-02-06 15:39:01
82,Mar Del Plata,-38.0023,-57.5575,73.0,68,75,13.8,AR,2021-02-06 15:39:29
83,Lavrentiya,65.5833,-171.0,-1.66,86,96,6.89,RU,2021-02-06 15:40:18
84,Pitimbu,-7.4706,-34.8086,89.6,55,40,11.5,BR,2021-02-06 15:38:43
85,Talcahuano,-36.7167,-73.1167,60.8,82,90,5.75,CL,2021-02-06 15:40:05
86,Kollo,13.3043,2.339,93.2,7,96,6.91,NE,2021-02-06 15:43:00
87,Salalah,17.0151,54.0924,75.2,64,40,9.22,OM,2021-02-06 15:40:27
88,Dingle,10.9995,122.6711,75.36,91,65,9.55,PH,2021-02-06 15:38:42
89,Alyangula,-13.8483,136.4192,77.0,100,40,19.57,AU,2021-02-06 15:43:01
90,Chokurdakh,70.6333,147.9167,-16.37,87,99,3.94,RU,2021-02-06 15:40:27
91,Esperance,-33.8667,121.9,60.8,82,90,11.5,AU,2021-02-06 15:38:14
92,Bend,44.0582,-121.3153,37.0,86,1,10.13,US,2021-02-06 15:43:01
93,Grand-Lahou,5.1367,-5.0242,83.95,74,24,9.95,CI,2021-02-06 15:43:01
94,Capitao Poco,-1.7464,-47.0594,90.3,56,77,5.75,BR,2021-02-06 15:43:01
95,Burgeo,47.6167,-57.6152,35.4,93,100,26.62,CA,2021-02-06 15:43:01
96,Barrow,71.2906,-156.7887,-2.2,71,90,10.36,US,2021-02-06 15:41:55
97,Sumenep,-7.0167,113.8667,79.45,82,83,11.56,ID,2021-02-06 15:43:01
98,Tasiilaq,65.6145,-37.6368,32.0,93,90,32.21,GL,2021-02-06 15:43:01
99,Puerto Escondido,15.85,-97.0667,82.4,74,40,7.25,MX,2021-02-06 15:42:44
100,Isiro,2.7739,27.616,83.43,27,1,1.86,CD,2021-02-06 15:43:01
101,Bluff,-46.6,168.3333,54.27,86,9,1.45,NZ,2021-02-06 15:41:58
102,Vila Do Maio,15.1333,-23.2167,75.2,53,75,27.63,CV,2021-02-06 15:43:02
103,Dalbandin,28.8947,64.4101,58.14,26,0,4.83,PK,2021-02-06 15:43:02
104,Hauknes,66.2833,14.0667,16.0,92,75,2.3,NO,2021-02-06 15:43:02
105,Sitka,57.0531,-135.33,35.6,93,90,4.61,US,2021-02-06 15:43:02
106,Quatre Cocos,-20.2078,57.7625,80.6,74,20,8.05,MU,2021-02-06 15:43:02
107,Saskylakh,71.9167,114.0833,-37.82,80,69,4.61,RU,2021-02-06 15:40:40
108,College,64.8569,-147.8028,-9.4,64,90,3.44,US,2021-02-06 15:42:06
109,Avarua,-21.2078,-159.775,75.2,94,15,2.3,CK,2021-02-06 15:43:02
110,Comodoro Rivadavia,-45.8667,-67.5,60.8,67,75,14.97,AR,2021-02-06 15:40:17
111,Sibu,2.3,111.8167,77.0,100,40,2.3,MY,2021-02-06 15:42:26
112,Lichinga,-13.3128,35.2406,68.02,94,29,2.39,MZ,2021-02-06 15:43:03
